-- Dummy data: 300 products
-- Run after subscription_management.sql. created_by = NULL (no user required).

SET FOREIGN_KEY_CHECKS=0;
INSERT INTO products (product_name, product_type, sales_price, cost_price, description, image_urls, short_description, terms_and_conditions, is_recurring, status, created_by) VALUES
  ('Analytics Pack 1', 'Hardware', 34.49, 13.07, 'Full description for dummy product 1 (Hardware).', NULL, 'Short desc for product 1', NULL, 1, 'ACTIVE', NULL),
  ('API Gateway 2', 'Service', 38.99, 15.65, 'Full description for dummy product 2 (Service).', NULL, 'Short desc for product 2', NULL, 1, 'ACTIVE', NULL),
  ('Storage Tier 3', 'Add-on', 43.49, 18.22, 'Full description for dummy product 3 (Add-on).', NULL, 'Short desc for product 3', NULL, 1, 'ACTIVE', NULL),
  ('Mobile App 4', 'License', 47.99, 20.80, 'Full description for dummy product 4 (License).', NULL, 'Short desc for product 4', NULL, 0, 'ACTIVE', NULL),
  ('Dashboard Pro 5', 'Support', 52.49, 23.37, 'Full description for dummy product 5 (Support).', NULL, 'Short desc for product 5', NULL, 1, 'ACTIVE', NULL),
  ('Backup Plus 6', 'SaaS', 56.99, 25.95, 'Full description for dummy product 6 (SaaS).', NULL, 'Short desc for product 6', NULL, 1, 'ACTIVE', NULL),
  ('Security Layer 7', 'Hardware', 36.99, 19.95, 'Full description for dummy product 7 (Hardware).', NULL, 'Short desc for product 7', NULL, 1, 'ACTIVE', NULL),
  ('Integration Hub 8', 'Service', 41.49, 22.52, 'Full description for dummy product 8 (Service).', NULL, 'Short desc for product 8', NULL, 0, 'ACTIVE', NULL),
  ('Reporting Tool 9', 'Add-on', 45.99, 25.10, 'Full description for dummy product 9 (Add-on).', NULL, 'Short desc for product 9', NULL, 1, 'ACTIVE', NULL),
  ('Cloud Suite 10', 'License', 50.49, 17.67, 'Full description for dummy product 10 (License).', NULL, 'Short desc for product 10', NULL, 1, 'ACTIVE', NULL),
  ('Analytics Pack 11', 'Support', 54.99, 20.25, 'Full description for dummy product 11 (Support).', NULL, 'Short desc for product 11', NULL, 1, 'ACTIVE', NULL),
  ('API Gateway 12', 'SaaS', 59.49, 22.82, 'Full description for dummy product 12 (SaaS).', NULL, 'Short desc for product 12', NULL, 0, 'ACTIVE', NULL),
  ('Storage Tier 13', 'Hardware', 63.99, 25.40, 'Full description for dummy product 13 (Hardware).', NULL, 'Short desc for product 13', NULL, 1, 'ACTIVE', NULL),
  ('Mobile App 14', 'Service', 43.99, 19.40, 'Full description for dummy product 14 (Service).', NULL, 'Short desc for product 14', NULL, 1, 'ACTIVE', NULL),
